TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
117,1 2 3 4 5 6 7 8,1,117,CPLD,/run/devmap/xcvrs/xcvr_ctrl_91/xcvr_reset_91,1,0,/run/devmap/xcvrs/xcvr_ctrl_91/xcvr_present_91,1,0,117,I2C,/run/devmap/xcvrs/xcvr_io_117,117,/sys/class/leds/port61_led1:blue:status,/sys/class/leds/port61_led2:amber:status
118,1 2 3 4 5 6 7 8,1,118,CPLD,/run/devmap/xcvrs/xcvr_ctrl_92/xcvr_reset_92,1,0,/run/devmap/xcvrs/xcvr_ctrl_92/xcvr_present_92,1,0,118,I2C,/run/devmap/xcvrs/xcvr_io_118,118,/sys/class/leds/port62_led1:blue:status,/sys/class/leds/port62_led2:amber:status
119,1 2 3 4 5 6 7 8,1,119,CPLD,/run/devmap/xcvrs/xcvr_ctrl_125/xcvr_reset_125,1,0,/run/devmap/xcvrs/xcvr_ctrl_125/xcvr_present_125,1,0,119,I2C,/run/devmap/xcvrs/xcvr_io_119,119,/sys/class/leds/port93_led1:blue:status,/sys/class/leds/port93_led2:amber:status
120,1 2 3 4 5 6 7 8,1,120,CPLD,/run/devmap/xcvrs/xcvr_ctrl_126/xcvr_reset_126,1,0,/run/devmap/xcvrs/xcvr_ctrl_126/xcvr_present_126,1,0,120,I2C,/run/devmap/xcvrs/xcvr_io_120,120,/sys/class/leds/port94_led1:blue:status,/sys/class/leds/port94_led2:amber:status
121,1 2 3 4 5 6 7 8,1,121,CPLD,/run/devmap/xcvrs/xcvr_ctrl_31/xcvr_reset_31,1,0,/run/devmap/xcvrs/xcvr_ctrl_31/xcvr_present_31,1,0,121,I2C,/run/devmap/xcvrs/xcvr_io_121,121,/sys/class/leds/port127_led1:blue:status,/sys/class/leds/port127_led2:amber:status
122,1 2 3 4 5 6 7 8,1,122,CPLD,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr_reset_32,1,0,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr_present_32,1,0,122,I2C,/run/devmap/xcvrs/xcvr_io_122,122,/sys/class/leds/port128_led1:blue:status,/sys/class/leds/port128_led2:amber:status
123,1 2 3 4 5 6 7 8,1,123,CPLD,/run/devmap/xcvrs/xcvr_ctrl_93/xcvr_reset_93,1,0,/run/devmap/xcvrs/xcvr_ctrl_93/xcvr_present_93,1,0,123,I2C,/run/devmap/xcvrs/xcvr_io_123,123,/sys/class/leds/port31_led1:blue:status,/sys/class/leds/port31_led2:amber:status
124,1 2 3 4 5 6 7 8,1,124,CPLD,/run/devmap/xcvrs/xcvr_ctrl_94/xcvr_reset_94,1,0,/run/devmap/xcvrs/xcvr_ctrl_94/xcvr_present_94,1,0,124,I2C,/run/devmap/xcvrs/xcvr_io_124,124,/sys/class/leds/port32_led1:blue:status,/sys/class/leds/port32_led2:amber:status
125,1 2 3 4 5 6 7 8,1,125,CPLD,/run/devmap/xcvrs/xcvr_ctrl_95/xcvr_reset_95,1,0,/run/devmap/xcvrs/xcvr_ctrl_95/xcvr_present_95,1,0,125,I2C,/run/devmap/xcvrs/xcvr_io_125,125,/sys/class/leds/port63_led1:blue:status,/sys/class/leds/port63_led2:amber:status
126,1 2 3 4 5 6 7 8,1,126,CPLD,/run/devmap/xcvrs/xcvr_ctrl_96/xcvr_reset_96,1,0,/run/devmap/xcvrs/xcvr_ctrl_96/xcvr_present_96,1,0,126,I2C,/run/devmap/xcvrs/xcvr_io_126,126,/sys/class/leds/port64_led1:blue:status,/sys/class/leds/port64_led2:amber:status
127,1 2 3 4 5 6 7 8,1,127,CPLD,/run/devmap/xcvrs/xcvr_ctrl_127/xcvr_reset_127,1,0,/run/devmap/xcvrs/xcvr_ctrl_127/xcvr_present_127,1,0,127,I2C,/run/devmap/xcvrs/xcvr_io_127,127,/sys/class/leds/port95_led1:blue:status,/sys/class/leds/port95_led2:amber:status
128,1 2 3 4 5 6 7 8,1,128,CPLD,/run/devmap/xcvrs/xcvr_ctrl_128/xcvr_reset_128,1,0,/run/devmap/xcvrs/xcvr_ctrl_128/xcvr_present_128,1,0,128,I2C,/run/devmap/xcvrs/xcvr_io_128,128,/sys/class/leds/port96_led1:blue:status,/sys/class/leds/port96_led2:amber:status
129,1 2 3 4,1,129,CPLD,/run/devmap/xcvrs/xcvr_ctrl_129/xcvr_reset_129,1,0,/run/devmap/xcvrs/xcvr_ctrl_129/xcvr_present_129,1,0,129,I2C,/run/devmap/xcvrs/xcvr_io_129,129,/sys/class/leds/port129_led1:blue:status,/sys/class/leds/port129_led2:amber:status
