PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
81,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_rtm_0,MDIO,21,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_7,2
82,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_rtm_0,MDIO,21,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_7,4
83,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_rtm_0,MDIO,21,/run/devmap/mdio-busses/mdio_bus_ctrl_l_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_7,8
84,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_rtm_0,MDIO,22,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_8,8
85,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_rtm_0,MDIO,22,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_8,4
86,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_rtm_0,MDIO,22,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_8,2
87,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_rtm_0,MDIO,22,/run/devmap/mdio-busses/mdio_bus_ctrl_l_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_8,0
88,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_rtm_0,MDIO,23,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_9,0
89,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_rtm_0,MDIO,23,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_9,2
90,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_rtm_0,MDIO,23,/run/devmap/mdio-busses/mdio_bus_ctrl_l_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_9,4
