Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1460,1460,eth1/55/5,23-25-38-45-47-61,,,,0,0,,
1462,1462,eth1/55/7,47-61,,,,0,0,,
91,91,eth1/56/1,23-25-38-39-45-47-50-61,,,,0,0,,
1466,1466,eth1/56/3,47-61,,,,0,0,,
1468,1468,eth1/56/5,23-25-38-45-47-61,,,,0,0,,
1470,1470,eth1/56/7,47-61,,,,0,0,,
253,253,eth1/57/1,23-25-38-39-45-47-50-61,,,,0,0,,
1474,1474,eth1/57/3,47-61,,,,0,0,,
1476,1476,eth1/57/5,23-25-38-45-47-61,,,,0,0,,
1478,1478,eth1/57/7,47-61,,,,0,0,,
252,252,eth1/58/1,23-25-38-39-45-47-50-61,,,,0,0,,
1482,1482,eth1/58/3,47-61,,,,0,0,,
1484,1484,eth1/58/5,23-25-38-45-47-61,,,,0,0,,
1486,1486,eth1/58/7,47-61,,,,0,0,,
234,234,eth1/59/1,23-25-38-39-45-47-50-61,,,,0,0,,
1490,1490,eth1/59/3,47-61,,,,0,0,,
1492,1492,eth1/59/5,23-25-38-45-47-61,,,,0,0,,
1494,1494,eth1/59/7,47-61,,,,0,0,,
235,235,eth1/60/1,23-25-38-39-45-47-50-61,,,,0,0,,
1498,1498,eth1/60/3,47-61,,,,0,0,,
1500,1500,eth1/60/5,23-25-38-45-47-61,,,,0,0,,
1502,1502,eth1/60/7,47-61,,,,0,0,,
236,236,eth1/61/1,23-25-38-39-45-47-50-61,,,,0,0,,
1506,1506,eth1/61/3,47-61,,,,0,0,,
1508,1508,eth1/61/5,23-25-38-45-47-61,,,,0,0,,
1510,1510,eth1/61/7,47-61,,,,0,0,,
237,237,eth1/62/1,23-25-38-39-45-47-50-61,,,,0,0,,
1514,1514,eth1/62/3,47-61,,,,0,0,,
1516,1516,eth1/62/5,23-25-38-45-47-61,,,,0,0,,
1518,1518,eth1/62/7,47-61,,,,0,0,,
92,92,eth1/63/1,23-25-38-39-45-47-50-61,,,,0,0,,
1522,1522,eth1/63/3,47-61,,,,0,0,,
1524,1524,eth1/63/5,23-25-38-45-47-61,,,,0,0,,
1526,1526,eth1/63/7,47-61,,,,0,0,,
93,93,eth1/64/1,23-25-38-39-45-47-50-61,,,,0,0,,
1530,1530,eth1/64/3,47-61,,,,0,0,,
1532,1532,eth1/64/5,23-25-38-45-47-61,,,,0,0,,
1534,1534,eth1/64/7,47-61,,,,0,0,,
471,471,eth1/65/1,23-25-38-39-45-47-50-61,,,,0,0,,
1538,1538,eth1/65/3,47-61,,,,0,0,,
1540,1540,eth1/65/5,23-25-38-45-47-61,,,,0,0,,
1542,1542,eth1/65/7,47-61,,,,0,0,,
489,489,eth1/66/1,23-25-38-39-45-47-50-61,,,,0,0,,
1546,1546,eth1/66/3,47-61,,,,0,0,,
1548,1548,eth1/66/5,23-25-38-45-47-61,,,,0,0,,
1550,1550,eth1/66/7,47-61,,,,0,0,,
327,327,eth1/67/1,23-25-38-39-45-47-50-61,,,,0,0,,
1554,1554,eth1/67/3,47-61,,,,0,0,,
1556,1556,eth1/67/5,23-25-38-45-47-61,,,,0,0,,
1558,1558,eth1/67/7,47-61,,,,0,0,,
345,345,eth1/68/1,23-25-38-39-45-47-50-61,,,,0,0,,
1562,1562,eth1/68/3,47-61,,,,0,0,,
1564,1564,eth1/68/5,23-25-38-45-47-61,,,,0,0,,
1566,1566,eth1/68/7,47-61,,,,0,0,,
325,325,eth1/69/1,23-25-38-39-45-47-50-61,,,,0,0,,
1570,1570,eth1/69/3,47-61,,,,0,0,,
1572,1572,eth1/69/5,23-25-38-45-47-61,,,,0,0,,
1574,1574,eth1/69/7,47-61,,,,0,0,,
343,343,eth1/70/1,23-25-38-39-45-47-50-61,,,,0,0,,
1578,1578,eth1/70/3,47-61,,,,0,0,,
1580,1580,eth1/70/5,23-25-38-45-47-61,,,,0,0,,
1582,1582,eth1/70/7,47-61,,,,0,0,,
290,290,eth1/71/1,23-25-38-39-45-47-50-61,,,,0,0,,
1586,1586,eth1/71/3,47-61,,,,0,0,,
1588,1588,eth1/71/5,23-25-38-45-47-61,,,,0,0,,
1590,1590,eth1/71/7,47-61,,,,0,0,,
291,291,eth1/72/1,23-25-38-39-45-47-50-61,,,,0,0,,
1594,1594,eth1/72/3,47-61,,,,0,0,,
1596,1596,eth1/72/5,23-25-38-45-47-61,,,,0,0,,
1598,1598,eth1/72/7,47-61,,,,0,0,,
470,470,eth1/73/1,23-25-38-39-45-47-50-61,,,,0,0,,
1602,1602,eth1/73/3,47-61,,,,0,0,,
1604,1604,eth1/73/5,23-25-38-45-47-61,,,,0,0,,
1606,1606,eth1/73/7,47-61,,,,0,0,,
487,487,eth1/74/1,23-25-38-39-45-47-50-61,,,,0,0,,
1610,1610,eth1/74/3,47-61,,,,0,0,,
1612,1612,eth1/74/5,23-25-38-45-47-61,,,,0,0,,
1614,1614,eth1/74/7,47-61,,,,0,0,,
326,326,eth1/75/1,23-25-38-39-45-47-50-61,,,,0,0,,
1618,1618,eth1/75/3,47-61,,,,0,0,,
1620,1620,eth1/75/5,23-25-38-45-47-61,,,,0,0,,
1622,1622,eth1/75/7,47-61,,,,0,0,,
324,324,eth1/76/1,23-25-38-39-45-47-50-61,,,,0,0,,
1626,1626,eth1/76/3,47-61,,,,0,0,,
1628,1628,eth1/76/5,23-25-38-45-47-61,,,,0,0,,
1630,1630,eth1/76/7,47-61,,,,0,0,,
344,344,eth1/77/1,23-25-38-39-45-47-50-61,,,,0,0,,
1634,1634,eth1/77/3,47-61,,,,0,0,,
1636,1636,eth1/77/5,23-25-38-45-47-61,,,,0,0,,
1638,1638,eth1/77/7,47-61,,,,0,0,,
342,342,eth1/78/1,23-25-38-39-45-47-50-61,,,,0,0,,
1642,1642,eth1/78/3,47-61,,,,0,0,,
1644,1644,eth1/78/5,23-25-38-45-47-61,,,,0,0,,
1646,1646,eth1/78/7,47-61,,,,0,0,,
289,289,eth1/79/1,23-25-38-39-45-47-50-61,,,,0,0,,
1650,1650,eth1/79/3,47-61,,,,0,0,,
1652,1652,eth1/79/5,23-25-38-45-47-61,,,,0,0,,
1654,1654,eth1/79/7,47-61,,,,0,0,,
288,288,eth1/80/1,23-25-38-39-45-47-50-61,,,,0,0,,
1658,1658,eth1/80/3,47-61,,,,0,0,,
1660,1660,eth1/80/5,23-25-38-45-47-61,,,,0,0,,
1662,1662,eth1/80/7,47-61,,,,0,0,,
486,486,eth1/81/1,23-25-38-39-45-47-50-61,,,,0,0,,
1666,1666,eth1/81/3,47-61,,,,0,0,,
1668,1668,eth1/81/5,23-25-38-45-47-61,,,,0,0,,
1670,1670,eth1/81/7,47-61,,,,0,0,,
488,488,eth1/82/1,23-25-38-39-45-47-50-61,,,,0,0,,
1674,1674,eth1/82/3,47-61,,,,0,0,,
1676,1676,eth1/82/5,23-25-38-45-47-61,,,,0,0,,
1678,1678,eth1/82/7,47-61,,,,0,0,,
360,360,eth1/83/1,23-25-38-39-45-47-50-61,,,,0,0,,
1682,1682,eth1/83/3,47-61,,,,0,0,,
1684,1684,eth1/83/5,23-25-38-45-47-61,,,,0,0,,
1686,1686,eth1/83/7,47-61,,,,0,0,,
362,362,eth1/84/1,23-25-38-39-45-47-50-61,,,,0,0,,
1690,1690,eth1/84/3,47-61,,,,0,0,,
1692,1692,eth1/84/5,23-25-38-45-47-61,,,,0,0,,
1694,1694,eth1/84/7,47-61,,,,0,0,,
361,361,eth1/85/1,23-25-38-39-45-47-50-61,,,,0,0,,
1698,1698,eth1/85/3,47-61,,,,0,0,,
1700,1700,eth1/85/5,23-25-38-45-47-61,,,,0,0,,
1702,1702,eth1/85/7,47-61,,,,0,0,,
363,363,eth1/86/1,23-25-38-39-45-47-50-61,,,,0,0,,
1706,1706,eth1/86/3,47-61,,,,0,0,,
1708,1708,eth1/86/5,23-25-38-45-47-61,,,,0,0,,
1710,1710,eth1/86/7,47-61,,,,0,0,,
306,306,eth1/87/1,23-25-38-39-45-47-50-61,,,,0,0,,
1714,1714,eth1/87/3,47-61,,,,0,0,,
1716,1716,eth1/87/5,23-25-38-45-47-61,,,,0,0,,
1718,1718,eth1/87/7,47-61,,,,0,0,,
307,307,eth1/88/1,23-25-38-39-45-47-50-61,,,,0,0,,
1722,1722,eth1/88/3,47-61,,,,0,0,,
1724,1724,eth1/88/5,23-25-38-45-47-61,,,,0,0,,
1726,1726,eth1/88/7,47-61,,,,0,0,,
469,469,eth1/89/1,23-25-38-39-45-47-50-61,,,,0,0,,
1730,1730,eth1/89/3,47-61,,,,0,0,,
1732,1732,eth1/89/5,23-25-38-45-47-61,,,,0,0,,
1734,1734,eth1/89/7,47-61,,,,0,0,,
468,468,eth1/90/1,23-25-38-39-45-47-50-61,,,,0,0,,
1738,1738,eth1/90/3,47-61,,,,0,0,,
1740,1740,eth1/90/5,23-25-38-45-47-61,,,,0,0,,
1742,1742,eth1/90/7,47-61,,,,0,0,,
378,378,eth1/91/1,23-25-38-39-45-47-50-61,,,,0,0,,
1746,1746,eth1/91/3,47-61,,,,0,0,,
1748,1748,eth1/91/5,23-25-38-45-47-61,,,,0,0,,
1750,1750,eth1/91/7,47-61,,,,0,0,,
379,379,eth1/92/1,23-25-38-39-45-47-50-61,,,,0,0,,
1754,1754,eth1/92/3,47-61,,,,0,0,,
1756,1756,eth1/92/5,23-25-38-45-47-61,,,,0,0,,
1758,1758,eth1/92/7,47-61,,,,0,0,,
380,380,eth1/93/1,23-25-38-39-45-47-50-61,,,,0,0,,
1762,1762,eth1/93/3,47-61,,,,0,0,,
1764,1764,eth1/93/5,23-25-38-45-47-61,,,,0,0,,
1766,1766,eth1/93/7,47-61,,,,0,0,,
381,381,eth1/94/1,23-25-38-39-45-47-50-61,,,,0,0,,
1770,1770,eth1/94/3,47-61,,,,0,0,,
1772,1772,eth1/94/5,23-25-38-45-47-61,,,,0,0,,
1774,1774,eth1/94/7,47-61,,,,0,0,,
308,308,eth1/95/1,23-25-38-39-45-47-50-61,,,,0,0,,
1778,1778,eth1/95/3,47-61,,,,0,0,,
1780,1780,eth1/95/5,23-25-38-45-47-61,,,,0,0,,
1782,1782,eth1/95/7,47-61,,,,0,0,,
309,309,eth1/96/1,23-25-38-39-45-47-50-61,,,,0,0,,
1786,1786,eth1/96/3,47-61,,,,0,0,,
1788,1788,eth1/96/5,23-25-38-45-47-61,,,,0,0,,
1790,1790,eth1/96/7,47-61,,,,0,0,,
543,543,eth1/97/1,23-25-38-39-45-47-50-61,,,,0,0,,
1794,1794,eth1/97/3,47-61,,,,0,0,,
1796,1796,eth1/97/5,23-25-38-45-47-61,,,,0,0,,
1798,1798,eth1/97/7,47-61,,,,0,0,,
561,561,eth1/98/1,23-25-38-39-45-47-50-61,,,,0,0,,
1802,1802,eth1/98/3,47-61,,,,0,0,,
1804,1804,eth1/98/5,23-25-38-45-47-61,,,,0,0,,
1806,1806,eth1/98/7,47-61,,,,0,0,,
399,399,eth1/99/1,23-25-38-39-45-47-50-61,,,,0,0,,
1810,1810,eth1/99/3,47-61,,,,0,0,,
1812,1812,eth1/99/5,23-25-38-45-47-61,,,,0,0,,
1814,1814,eth1/99/7,47-61,,,,0,0,,
417,417,eth1/100/1,23-25-38-39-45-47-50-61,,,,0,0,,
1818,1818,eth1/100/3,47-61,,,,0,0,,
1820,1820,eth1/100/5,23-25-38-45-47-61,,,,0,0,,
1822,1822,eth1/100/7,47-61,,,,0,0,,
397,397,eth1/101/1,23-25-38-39-45-47-50-61,,,,0,0,,
1826,1826,eth1/101/3,47-61,,,,0,0,,
1828,1828,eth1/101/5,23-25-38-45-47-61,,,,0,0,,
1830,1830,eth1/101/7,47-61,,,,0,0,,
415,415,eth1/102/1,23-25-38-39-45-47-50-61,,,,0,0,,
1834,1834,eth1/102/3,47-61,,,,0,0,,
1836,1836,eth1/102/5,23-25-38-45-47-61,,,,0,0,,
1838,1838,eth1/102/7,47-61,,,,0,0,,
506,506,eth1/103/1,23-25-38-39-45-47-50-61,,,,0,0,,
1842,1842,eth1/103/3,47-61,,,,0,0,,
1844,1844,eth1/103/5,23-25-38-45-47-61,,,,0,0,,
1846,1846,eth1/103/7,47-61,,,,0,0,,
507,507,eth1/104/1,23-25-38-39-45-47-50-61,,,,0,0,,
1850,1850,eth1/104/3,47-61,,,,0,0,,
1852,1852,eth1/104/5,23-25-38-45-47-61,,,,0,0,,
1854,1854,eth1/104/7,47-61,,,,0,0,,
542,542,eth1/105/1,23-25-38-39-45-47-50-61,,,,0,0,,
1858,1858,eth1/105/3,47-61,,,,0,0,,
1860,1860,eth1/105/5,23-25-38-45-47-61,,,,0,0,,
1862,1862,eth1/105/7,47-61,,,,0,0,,
559,559,eth1/106/1,23-25-38-39-45-47-50-61,,,,0,0,,
1866,1866,eth1/106/3,47-61,,,,0,0,,
1868,1868,eth1/106/5,23-25-38-45-47-61,,,,0,0,,
1870,1870,eth1/106/7,47-61,,,,0,0,,
398,398,eth1/107/1,23-25-38-39-45-47-50-61,,,,0,0,,
1874,1874,eth1/107/3,47-61,,,,0,0,,
1876,1876,eth1/107/5,23-25-38-45-47-61,,,,0,0,,
1878,1878,eth1/107/7,47-61,,,,0,0,,
396,396,eth1/108/1,23-25-38-39-45-47-50-61,,,,0,0,,
1882,1882,eth1/108/3,47-61,,,,0,0,,
1884,1884,eth1/108/5,23-25-38-45-47-61,,,,0,0,,
1886,1886,eth1/108/7,47-61,,,,0,0,,
